id,1,Unique identifier,Scale,8,Right,F9.2,F9.2,"-7.00, -8.00, -9.00",,
a2_coded_24,42,a2_coded_24 -- Downtown - Poor/Unsafe/Dull/General negative comments : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_25,43,a2_coded_25 -- Social services and supports - Good/Available/Accessible : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_26,44,a2_coded_26 -- Social services and supports - Poor/Unavailable/Not accessible : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_27,45,a2_coded_27 -- Traffic - Not much/Quiet/Not congested : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_28,46,a2_coded_28 -- Traffic - Too much/Loud/Congested : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_29,47,a2_coded_29 -- Programs for children - Good/Available/Accessible/Low cost : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_30,48,a2_coded_30 -- Programs for children - Poor/Unavailable/Not accessible/High cost : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_31,49,a2_coded_31 -- Programs for seniors - Good/Available/Accessible/Low cost : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_32,50,a2_coded_32 -- Programs for seniors - Poor/Unavailable/Not accessible/High cost : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_33,51,a2_coded_33 -- Programs for persons with disabilities - Good/Available/Accessible/Low cost : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_34,52,a2_coded_34 -- Programs for persons with disabilities - Poor/Unavailable/Not accessible/High cost : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_35,53,a2_coded_35 -- People and sense of community - Friendly/Know people : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_36,54,a2_coded_36 -- People and sense of community - No friendly/Don't know people : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_37,55,a2_coded_37 -- Condition of roads and sidewalks - Good/well maintained : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_38,56,a2_coded_38 -- Condition of roads and sidewalks - Poor/not maintained : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_39,57,a2_coded_39 -- Recreational facilities and programs - Good/convenient/safe/low cost : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_40,58,a2_coded_40 -- Recreational facilities and programs - Poor/inconvenient/not safe/high cost : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_41,59,a2_coded_41 -- Events and attractions - Good/convenient/safe/low cost : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_42,60,a2_coded_42 -- Events and attractions - Poor/inconvenient/not safe/high cost : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_43,61,a2_coded_43 -- Health care - Good/convenient/low cost : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_44,62,a2_coded_44 -- Health care - Poor/inconvenient/high cost : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_45,63,a2_coded_45 -- Schools and education - Good/have options : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_46,64,a2_coded_46 -- Schools and education - Poor/not many options : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_47,65,a2_coded_47 -- Child care - Good/convenient/low cost : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_48,66,a2_coded_48 -- Child care - Poor/inconvenient/high cost : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_49,67,a2_coded_49 -- City governance - Good : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_50,68,a2_coded_50 -- City governance - Poor : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_51,69,a2_coded_51 -- Local businesses - Good/have many : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_52,70,a2_coded_52 -- Local businesses - Poor/not enough : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_53,71,a2_coded_53 -- Entertainment/amenities - Good/have many : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_54,72,a2_coded_54 -- Entertainment/amenities - Poor/not enough : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_55,73,a2_coded_55 -- Weather - Good : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_56,74,a2_coded_56 -- Weather - Poor : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_57,75,a2_coded_57 -- Taxes - Low : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_58,76,a2_coded_58 -- Taxes - High : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_59,77,a2_coded_59 -- Other positive factors (including general) : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_60,78,a2_coded_60 -- Other negative factors (including general) : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_61,79,a2_coded_61 -- Infrastructure - poor/needs updating/poor planning of constructions : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_62,80,"a2_coded_62 -- City services - good/reliable/well maintained (e.g., street cleaning, snow removal, etc.) : What is the reason for your rating '[A1 Rating]'?",Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_63,81,"a2_coded_63 -- City services - poor (e.g., street cleaning, snow removal, etc.) : What is the reason for your rating '[A1 Rating]'?",Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_64,82,"a2_coded_64 -- Quality of life - good (e.g., a pleasant place to live, peaceful, good quality of life, etc.) : What is the reason for your rating '[A1 Rating]'?",Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_65,83,a2_coded_65 -- Air quality - good : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_97,84,a2_coded_97 -- Other : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_98,85,a2_coded_98 -- Don't know : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
a2_coded_99,86,a2_coded_99 -- Prefer not to say : What is the reason for your rating '[A1 Rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",,
b2_coded_1,102,b2_coded_1 -- Housing - Cost/Affordability : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_1 -- Housing,Housing
b2_coded_2,103,b2_coded_2 -- Housing - Availability : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_2 -- Housing,Housing
b2_coded_3,104,b2_coded_3 -- Housing - Variety : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_3 -- Housing,Housing
b2_coded_4,105,b2_coded_4 -- Housing - Funding : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_4 -- Housing,Housing
b2_coded_5,106,b2_coded_5 -- Housing - Programs : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_5 -- Housing,Housing
b2_coded_6,107,b2_coded_6 -- Housing - Maintenance : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_6 -- Housing,Housing
b2_coded_7,108,b2_coded_7 -- Housing - Safety : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_7 -- Housing,Housing
b2_coded_8,109,b2_coded_8 -- Housing - Other : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_8 -- Housing,Housing
b2_coded_9,110,b2_coded_9 -- Transit - Cost/Affordability : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_9 -- Transit,Transit
b2_coded_10,111,b2_coded_10 -- Transit - Availability : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_10 -- Transit,Transit
b2_coded_11,112,b2_coded_11 -- Transit - Variety : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_11 -- Transit,Transit
b2_coded_12,113,b2_coded_12 -- Transit - Funding : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_12 -- Transit,Transit
b2_coded_13,114,b2_coded_13 -- Transit - Programs : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_13 -- Transit,Transit
b2_coded_14,115,b2_coded_14 -- Transit - Maintenance : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_14 -- Transit,Transit
b2_coded_15,116,b2_coded_15 -- Transit - Safety : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_15 -- Transit,Transit
b2_coded_16,117,b2_coded_16 -- Transit - Other : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_16 -- Transit,Transit
b2_coded_17,118,b2_coded_17 -- Recreation facilities - Cost/Affordability : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_17 -- Recreation facilities,Recreation facilities
b2_coded_18,119,b2_coded_18 -- Recreation facilities - Availability : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_18 -- Recreation facilities,Recreation facilities
b2_coded_19,120,b2_coded_19 -- Recreation facilities - Variety : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_19 -- Recreation facilities,Recreation facilities
b2_coded_20,121,b2_coded_20 -- Recreation facilities - Funding : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_20 -- Recreation facilities,Recreation facilities
b2_coded_21,122,b2_coded_21 -- Recreation facilities - Programs : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_21 -- Recreation facilities,Recreation facilities
b2_coded_22,123,b2_coded_22 -- Recreation facilities - Maintenance : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_22 -- Recreation facilities,Recreation facilities
b2_coded_23,124,b2_coded_23 -- Recreation facilities - Safety : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_23 -- Recreation facilities,Recreation facilities
b2_coded_24,125,b2_coded_24 -- Recreation facilities - Other : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_24 -- Recreation facilities,Recreation facilities
b2_coded_25,126,b2_coded_25 -- Parks and trails - Cost/Affordability : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_25 -- Parks and trails,Parks and trails
b2_coded_26,127,b2_coded_26 -- Parks and trails - Availability : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_26 -- Parks and trails,Parks and trails
b2_coded_27,128,b2_coded_27 -- Parks and trails - Variety : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_27 -- Parks and trails,Parks and trails
b2_coded_28,129,b2_coded_28 -- Parks and trails - Funding : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_28 -- Parks and trails,Parks and trails
b2_coded_29,130,b2_coded_29 -- Parks and trails - Programs : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_29 -- Parks and trails,Parks and trails
b2_coded_30,131,b2_coded_30 -- Parks and trails - Maintenance : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_30 -- Parks and trails,Parks and trails
b2_coded_31,132,b2_coded_31 -- Parks and trails - Safety : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_31 -- Parks and trails,Parks and trails
b2_coded_32,133,b2_coded_32 -- Parks and trails - Other : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_32 -- Parks and trails,Parks and trails
b2_coded_33,134,b2_coded_33 -- Crime and policing - Availability : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_33 -- Crime and policing,Crime and policing
b2_coded_34,135,b2_coded_34 -- Crime and policing - Funding : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_34 -- Crime and policing,Crime and policing
b2_coded_35,136,b2_coded_35 -- Crime and policing - Programs : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_35 -- Crime and policing,Crime and policing
b2_coded_36,137,b2_coded_36 -- Crime and policing - Safety : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_36 -- Crime and policing,Crime and policing
b2_coded_37,138,b2_coded_37 -- Crime and policing - Other : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_37 -- Crime and policing,Crime and policing
b2_coded_38,139,b2_coded_38 -- Roads and sidewalks - Availability : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_38 -- Roads and sidewalks,Roads and sidewalks
b2_coded_39,140,b2_coded_39 -- Roads and sidewalks - Funding : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_39 -- Roads and sidewalks,Roads and sidewalks
b2_coded_40,141,b2_coded_40 -- Roads and sidewalks - Maintenance : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_40 -- Roads and sidewalks,Roads and sidewalks
b2_coded_41,142,b2_coded_41 -- Roads and sidewalks - Safety : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_41 -- Roads and sidewalks,Roads and sidewalks
b2_coded_42,143,b2_coded_42 -- Roads and sidewalks - Other : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_42 -- Roads and sidewalks,Roads and sidewalks
b2_coded_43,144,b2_coded_43 -- Social services - Cost/Affordability : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_43 -- Social services,Social services
b2_coded_44,145,b2_coded_44 -- Social services - Availability : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_44 -- Social services,Social services
b2_coded_45,146,b2_coded_45 -- Social services - Variety : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_45 -- Social services,Social services
b2_coded_46,147,b2_coded_46 -- Social services - Funding : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_46 -- Social services,Social services
b2_coded_47,148,b2_coded_47 -- Social services - Programs : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_47 -- Social services,Social services
b2_coded_48,149,b2_coded_48 -- Social services - Maintenance : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_48 -- Social services,Social services
b2_coded_49,150,b2_coded_49 -- Social services - Safety : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_49 -- Social services,Social services
b2_coded_50,151,b2_coded_50 -- Social services - Other : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_50 -- Social services,Social services
b2_coded_51,152,b2_coded_51 -- Information services - Availability : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_51 -- Information services,Information services
b2_coded_52,153,b2_coded_52 -- Information services - Variety : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_52 -- Information services,Information services
b2_coded_53,154,b2_coded_53 -- Information services - Funding : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_53 -- Information services,Information services
b2_coded_54,155,b2_coded_54 -- Information services - Programs : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_54 -- Information services,Information services
b2_coded_55,156,b2_coded_55 -- Information services - Other : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_55 -- Information services,Information services
b2_coded_56,157,b2_coded_56 -- Waste removal and garbage collection - Availability : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_56 -- Waste removal and garbage collection,Waste removal and garbage collection
b2_coded_57,158,b2_coded_57 -- Waste removal and garbage collection - Funding : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_57 -- Waste removal and garbage collection,Waste removal and garbage collection
b2_coded_58,159,b2_coded_58 -- Waste removal and garbage collection - Programs : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_58 -- Waste removal and garbage collection,Waste removal and garbage collection
b2_coded_59,160,b2_coded_59 -- Waste removal and garbage collection - Maintenance : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_59 -- Waste removal and garbage collection,Waste removal and garbage collection
b2_coded_60,161,b2_coded_60 -- Waste removal and garbage collection - Safety : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_60 -- Waste removal and garbage collection,Waste removal and garbage collection
b2_coded_61,162,b2_coded_61 -- Waste removal and garbage collection - Other : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_61 -- Waste removal and garbage collection,Waste removal and garbage collection
b2_coded_62,163,b2_coded_62 -- Recycling and eco stations - Cost/Affordability : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_62 -- Recycling and eco stations,Recycling and eco stations
b2_coded_63,164,b2_coded_63 -- Recycling and eco stations - Availability : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_63 -- Recycling and eco stations,Recycling and eco stations
b2_coded_64,165,b2_coded_64 -- Recycling and eco stations - Funding : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_64 -- Recycling and eco stations,Recycling and eco stations
b2_coded_65,166,b2_coded_65 -- Recycling and eco stations - Programs : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_65 -- Recycling and eco stations,Recycling and eco stations
b2_coded_66,167,b2_coded_66 -- Recycling and eco stations - Maintenance : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_66 -- Recycling and eco stations,Recycling and eco stations
b2_coded_67,168,b2_coded_67 -- Recycling and eco stations - Safety : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_67 -- Recycling and eco stations,Recycling and eco stations
b2_coded_68,169,b2_coded_68 -- Recycling and eco stations - Other : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_68 -- Recycling and eco stations,Recycling and eco stations
b2_coded_69,170,b2_coded_69 -- Fire services - Availability : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_69 -- Fire services,Fire services
b2_coded_70,171,b2_coded_70 -- Fire services - Funding : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_70 -- Fire services,Fire services
b2_coded_71,172,b2_coded_71 -- Fire services - Programs : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_71 -- Fire services,Fire services
b2_coded_72,173,b2_coded_72 -- Fire services - Maintenance : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_72 -- Fire services,Fire services
b2_coded_73,174,b2_coded_73 -- Fire services - Safety : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_73 -- Fire services,Fire services
b2_coded_74,175,b2_coded_74 -- Fire services - Other : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_74 -- Fire services,Fire services
b2_coded_75,176,b2_coded_75 -- City communications and customer service - Availability : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_75 -- City communications and customer service,City communications and customer service
b2_coded_76,177,b2_coded_76 -- City communications and customer service - Variety : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_76 -- City communications and customer service,City communications and customer service
b2_coded_77,178,b2_coded_77 -- City communications and customer service - Funding : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_77 -- City communications and customer service,City communications and customer service
b2_coded_78,179,b2_coded_78 -- City communications and customer service - Programs : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_78 -- City communications and customer service,City communications and customer service
b2_coded_79,180,b2_coded_79 -- City communications and customer service - Other : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_79 -- City communications and customer service,City communications and customer service
b2_coded_80,181,b2_coded_80 -- Seniors programs - Cost/Affordability : What is the reason for your rating '[B1 rating]'?,Nominal,8,Left,F2,F2,"-7, -8, -9",b2_coded_80 -- Seniors programs,Seniors programs
