,c1,Cost of living,Housing cost,Housing,Homelessness,Crime,Drugs and addiction,Jobs and employment,Parks and green spaces,Transit,Walkability,Safety,Downtown,Social services and supports,Traffic,Programs for children,Programs for seniors,Programs for persons with disabilities,People and sense of community,Condition of roads and sidewalks,Recreational facilities and programs,Events and attractions,Health care,Schools and education,Child care,City governance,Local businesses,Entertainment/amenities,Weather,Taxes
10,"There is a perception in the city that the city is not on the side of those who live there. For example, those who operate non-profits and/or societies dedicated to improving things run into more hurdles to getting things done than necessary and find that the city is not always honest in their dealings with these groups. Additionally there is the perception that the city is ruining things for the un-housed population when it clears encampments. It is a tough balance to strike but a frustrating one when members of community service organizations are frustrated with dealing with the city to put it mildly.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11,"Two things I do not feel that the speed limit in residential areas, should be 40 km.I believe that it is teaching kids that they do not need to look for vehicles. that vehicles have to watch for them, it is not the responsibility of the pedestrians. So as they get older, they just go on their with headphones on & texting on their phones without looking up. And leaving Edmonton, for whatever reason, this could do more harm than good. I do not want to see kids get hit by cars, but they have to be aware of where they are, and their surroundings. The second item, is garbage collection. If I am paying for garbage collection (black bin), should they not take whatever is in the bin, not leave items behind. I have tried for a month or so to get rid of some large plastic piece of garbage. It fits in the garbage, but it is still in the black bin. At first I thought it was stuff in too tight, so it did not come out, when the bin was dumped, but the last 2 garbage days, it was not in tightly, so that was not the problem. I have VERY little garbage to go out & still it does not get taken away.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"I do not want to see the city expropriate more farm land. I would like the city to invest in producing our own vegetables through hydroponic facilities. I know it would be expensive to produce the heat and light needed to have our own vegetables grown during the winter months, possibly using solar panels. i do not want to see farm land used for putting up solar panels nor wind turbines",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13,"Too much time/money spent on 'special interest' groups, be it elite sports (hockey), bicycles, move Lucy, inclusion just for the sake of it when better qualified may be ignored. Museum should never have been moved. We are losing too much to Calgary - ie Edmonton Journal editor is now in C. most provincial announcements from C. 'local' TV news and radio programming - much is from C.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
14,"Much better planning and use of resources, not necessarily more money. Current LRT construction is a huge mess with delays and overspending and traffic disruption.Unfortunately I can't see it improving. Bike lanes in a winter city have some importance but not over fixing public sidewalks and other problems. I've seen the way potholes are filled eg not draining the water. Homelessness has become a major problem, complicated by mental and addiction issues with no easy answers. I know this is supposed to be a Provincial issue, but surely all levels could come together and figure it out. How do other countries deal with it? City hall's priorities are a huge, expensive mess and I don't see any end to it. We need much more accountability. It's OUR money and not unlimited!",0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
15,"I understand the need for construction projects and infrastructure upgrades, but wish there was a way to have less of an impact on daily commuters (eg. Stony Plain & 142 blocked off for the whole winter with NO work being done, creating bottlenecks unnecessarily). I also realize there is no easy answer for the issues we're seeing downtown, but it's to a point now that the entire area is completely offputting and personally, I avoid it as much as possible...",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,"city management are idiots - fire them all - can't tender anything properly without years of delay fire the mayor and councillors - increasing taxes for less, crap about downtown and supporting them - the place is a joke and is only making the oilers owner richer - downtown will NEVER compare to cowtown or vancouver because of the stupid ice area and overpriced parking though the city wants us to bike or take public transit but then complains not enough revenue from parking - make up your mind",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
17,"roads are terrible, full of potholes, speeding is at an all time high. noise levels are not being managed. road work begun and never finished (construction sites begun and then left for over a year before any work is actually done or worse they are ""fixed"" just to be reopened again for another year or more). Service providers are not stepping up (e.g. EPCOR is a joke. Show up with their trailers and have coffee all day while playing with their cell phones. No work being done but we are paying for this). Whole construction program and approach needs to be revamped. Less programs and more accomplished.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
18,I am satisfied with all C of E services.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,More accountability for the engineering failures plaguing Edmonton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,not at this time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Make it safe and deal with the open drug use and criminal activities of the street people criminals,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Are there adequate investments for seniors like programs. safety and be able to get around safely?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,"When will the valley line open; two years past the original date; one year delay is acceptable, but the mistakes along the way are worrisome.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"Slow the growth of the city because the current Fire, Police, and Health care systems are falling way behind in the service they can provide. These three infrastructures need more support and facilities.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
26,I find that there is more speeding within the play ground area Skyview and there are probably the same in other play ground zones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Take care of park spaces rather than naturalizing them.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,"Although the city is trying to revitalize downtown, it is too expensive to park there. Also, it is not the most pleasant experience due to homelessness and pan-handlers. There needs to be programs which help the homelessness.",0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,We have a problem with people speeding in our area. I know the police are stretched thin and had the opportunity to let them know of this situation.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,"New developments should have displays of what it will look like once built. Traffic lights at major intersections need re-programming giving turning green arrows more time for traffic to turn. Sanding at all intersections during winter months HAS to be a priority, not only busy corners, we pay taxes also.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,When construction is over for the day; REOPEN the road(s) and lanes closed during construction.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,The taxes here are much too high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,City could improve on fixing potholes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
39,"All city employees, all members of council, all police should be required to use ETS transportation to travel to and from employment for the City Of Edmonton. Core EPS should transport to and from employment in fully occupied designated vehicles. Said services would only then be improved for all users.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Not at this time.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Nothing that I can think of.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Lower increases in property taxes to allow households to maintain affordability for other priority household spending,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,nothing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Vagrancy laws need enforcement to stop encampments. You call different agencies and nothing gets done.  Too much sympathy directed toward young able bodied who choose this lifestyle.,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,"Bike lanes - what a collosal waste of money Need much more attention to parks, recreation, natural areas, wetlands, outdoor spaces, boulevards and better maintenance and upkeep Acquisition of green space and natural areas - do not squander and dispose of these valuable resoueces",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
47,Not at this time.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,"We have a homeless problem. But when you budget  $100 million dollars on bike lanes, we realize the city isn't serious in solving the problem.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
49,"Our WOKE City Counsel has its priorities wrong. Want to spend $100M on bike paths yet with little left for homeless. Hello, there are bike paths everywhere. The are called sidewalks.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
50,Noise by-law could be enforced more.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,The mayor and some councillors have to stop pushing and spending tax dollars on a 'œ 15 minute city' Even though they deny it its obvious of the direction they are going.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
52,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,You have NO business in anything to do with climate. Quit passing dollars away.  Straight white people are as important as non white & LGBTQ2S. Quit treating us as fucking 2nd class citizens.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
54,Large buses traveling empty for miles so why not only have the large buses run during busy hours and have small buses the rest of the day and night,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Quit wasting money on unessary infrastructure investments like dedicated bicycle lanes.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
56,In any new development they should have 4 lane traffic roads because the two lanes currently supplied are outdated in a few years and then the burden falls on the taxpayer instead of the developer.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
57,ETS operation is very poor.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Nothing to add,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Community Leagues are a major benefit to this cities community life style and they provide important services at the base of the cities social system. They require more aid and less control from the cities parks department to give the volunteers a fighting chance when seeking resources when competing against arts and other groups for funding.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
60,Keep up the good work,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,"Better budgeting, supervision, and timeliness of capital projects. Better control and priority of city expenditures as property tax increases are too high.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
62,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,NOne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,All citizens deserve a response directly when they ask a question.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
67,Do not even think of this 15 minute city crap.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
68,The plans to create more HIGH density living in older areas by taking away green space for low income shouldn't be permitted. In my area they are trying this and now to fix one problem they have created another. Figure out better ways of spending our tax dollars.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
69,nothing else. thanks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Safety should be priority,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Please stop increasing the police budget and put higher priority on ending homelessness in our city,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
73,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,I really enjoyed this survey and I think all these things are very important for day to day life for edmontonians,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,More support for permit applications,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Should improve the environment more green and clean,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,good,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,I would really like the downtown to be vibrant and safe so more people spend time downtown. I love our libraries so much and all the festivals are so wonderful. the best part of Edmonton is our river valley and green spaces,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
80,There needs to be more opportunities for new graduates and residents.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,"1. I think more attention should be paid to Homelessness in the city however that will happen if there is more job opening available. Most people are homeless because they can't find a job to help support themselves leading people to become homeless.  2. Business and cooperation, (registry)  Upon a couple of experiences I have had in the last 2 months I think the registries in the city are just taking advantage of people, especially new drivers because I've been trying to get my driver's license and some of the instructors that I've had just watched make a mistake so they can have a reason to fail you. I know its important that a person should be fully trained before they are given the opportunity to operate a vehicle but not when you the instructors know this person is capable but still find a reason to fail them just so they can come and pay again. It's not fair as they are people in the country who struggle to get a job and support themselves financially.  I also feel like there is no standard pricing in the market  everybody has their own price of selling the same product",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
82,Nothing else,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,No i think the city of Edmonton is a decnet place to live in. I enjoy living here,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Because it's very convenient and fast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,We will strengthen the construction of public facilities Increase greening,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Overall a good place to live,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,More safety precautions in transit areas,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,City needs to fix homeless problem downtown and help them.,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,I think Edmonton is doing what they can for but I think they should better in the future,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Address the growing homelessness,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Bus customer service should be a priority. They are some rude people operating those buses,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,N/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,"Make downtown safer please, less homeless tent communities.",0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,I know this is very well known within the city but transit and central Edmonton are not safe at all. I refuse to use transit and when I was downtown I would have a safety issue every day.,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Better transit facility and better solutions for homeless people.More companies needs to come here for better employment opportunities,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,"I think there should be more going towards patrolling around jasper ave. downtown. I feel that crime around Chinatown has improved, maybe thanks to local associations to their efforts, but a lot of the people with mental issues have spread to other areas, such as Jasper ave.",0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Stop with the bike lanes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
101,lower our taxes worst in country,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
102,The only disturbing thing is traffic created due to road construction on weekdays at office hours,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Please hurry process of construction.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,"As mentioned in many research articles emotion should have a 15-minute policy to access amenities but in reality, I have to walk way too much to reach any nearby amenity shop let's say Costco. And the travel service is very limited like the bus service",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
106,Nothing else all my thoughts are in the survey I completed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Nothing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,Nothing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,"Not really, it's a great place to live",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,Improve basic health care and increase efforts to promote clean energy.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
111,Downtown is a very nice place but its way more dangerous at night due to homeless people that live in the streets,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,No comments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,nothing comes to mind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,"No, they know what they're doing wrong.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
116,More police patrols in downtown area and transit centres,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,More support and services for the homeless and people struggling with addiction,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Sometimes I'm confused about the waste and since we are now sorting our garbage I would have thought that would have lowered the overall cost for the city. I understand those new waste trucks are very expensive.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
119,"So much for the alleged increased policing in downtown. Police are still failing to respond, and the inner city remains very unsafe. I get hit in crosswalks - no police response. Assaulted - no police response.",0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,not really,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,To make public transit safe for commuters.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,"The city of Edmonton talks and talks and talks and TALKS about the 'œrevitalization of downtown,' - as someone who lives downtown, a BIG way to help that would be to improve parking prices. How about 24-hour transit? We're a city over a million (which is rarer than it sounds) and we don't even have 24 hour transit. We keep putting money into our transit, but I see little to no improvement. The amount of money they want you to pay for an hour and a half of ride time is absolutely ridiculous. Also, the way we treat our homeless/low income residents is disgusting and everyone has a 'œnot in my backyard,' attitude. Edmonton needs to take action for our most vulnerable.",0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,"The city is doing so many construction, the road are always closed, congratulations are all over the city. So now property taxes has increased a lot. This is crazy, and I'm annoyed for all of this, the same my friends and a lot of people that I know",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
